Gender,Education,Alcohol(Class),Cannabis(Class),Crack(Class),Heroin(Class)
Hombre,Dejó la escuela a los 16 años,En el último año,En la última decada,Nunca,Hace mas de una decada
Hombre,Educación Técnica o de Universidad(No finalizada),En la última decada,En la última semana,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última semana,En la última semana,En la última semana
Mujer,Grado Universitario,En la última decada,En la última semana,Nunca,Nunca
Mujer,Diploma/certificado profesional,En la última semana,En la última decada,En la última semana,En la última semana
Hombre,Grado Universitario,En la última decada,En la última semana,En la última semana,En la última semana
Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
Mujer,Doctorado finalizado,En la última semana,Hace mas de una decada,Nunca,Nunca
Hombre,Diploma/certificado profesional,En la última semana,Hace mas de una decada,Nunca,Nunca
Mujer,Grado Universitario,Nunca,Nunca,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
Hombre,Diploma/certificado profesional,Ayer,Ayer,Nunca,Nunca
Mujer,Grado Universitario,En el último año,En la última semana,En la última semana,En la última semana
Hombre,Dejó la escuela a los 18 años,En la última semana,Ayer,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última decada,Nunca,Nunca
Hombre,Grado Universitario,Ayer,En el último mes,Nunca,Nunca
Mujer,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
Hombre,Diploma/certificado profesional,Ayer,Nunca,Nunca,Nunca
Mujer,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
Hombre,Maestría finalizada,Nunca,Nunca,Nunca,Nunca
Mujer,Diploma/certificado profesional,Ayer,Hace mas de una decada,Nunca,Nunca
Hombre,Grado Universitario,En la última decada,En la última semana,En la última semana,Nunca
Hombre,Dejó la escuela a los 16 años,En el último mes,Ayer,Nunca,Nunca
Mujer,Maestría finalizada,En la última semana,Hace mas de una decada,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
Mujer,Grado Universitario,Hace mas de una decada,Nunca,Nunca,Nunca
Hombre,Diploma/certificado profesional,En la última semana,En la última semana,Nunca,Nunca
Hombre,Dejó la escuela a los 18 años,En el último mes,Nunca,Nunca,Nunca
Hombre,Grado Universitario,Nunca,Nunca,Nunca,Nunca
Hombre,Diploma/certificado profesional,En el último año,Hace mas de una decada,Nunca,Nunca
Hombre,Doctorado finalizado,En la última semana,Hace mas de una decada,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),En la última decada,Hace mas de una decada,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
Mujer,Dejó la escuela a los 17 años,En la última semana,Nunca,Nunca,Nunca
Mujer,Diploma/certificado profesional,Ayer,Nunca,Nunca,Nunca
Hombre,Diploma/certificado profesional,Ayer,Hace mas de una decada,Hace mas de una decada,Nunca
Hombre,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
Mujer,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
Hombre,Diploma/certificado profesional,Ayer,Nunca,Nunca,Nunca
Mujer,Maestría finalizada,Ayer,En el último año,Nunca,Nunca
Hombre,Maestría finalizada,Hace mas de una decada,Hace mas de una decada,Nunca,Nunca
Mujer,Dejó la escuela a los 18 años,En el último mes,Hace mas de una decada,Nunca,Nunca
Hombre,Dejó la escuela a los 16 años,En la última semana,Ayer,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último año,Nunca,Nunca
Hombre,Grado Universitario,En la última semana,En el último año,Nunca,Nunca
Hombre,Dejó la escuela a los 17 años,En el último año,Ayer,Nunca,Nunca
Mujer,Dejó la escuela antes de los 16 años,En la última semana,En el último año,Nunca,Nunca
Mujer,Grado Universitario,En el último año,Ayer,Nunca,Nunca
Hombre,Dejó la escuela a los 17 años,Ayer,Ayer,Hace mas de una decada,Nunca
Hombre,Grado Universitario,En el último año,Ayer,Nunca,Nunca
Mujer,Diploma/certificado profesional,Hace mas de una decada,Ayer,Nunca,Nunca
Hombre,Dejó la escuela a los 18 años,En la última semana,Ayer,Nunca,Hace mas de una decada
Mujer,Educación Técnica o de Universidad(No finalizada),En el último año,Hace mas de una decada,Hace mas de una decada,Nunca
Mujer,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),Ayer,Hace mas de una decada,Nunca,Nunca
Hombre,Dejó la escuela a los 18 años,Ayer,Ayer,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última semana,En la última semana,Nunca
Mujer,Doctorado finalizado,Ayer,En el último mes,Nunca,Nunca
Hombre,Grado Universitario,Ayer,Nunca,Nunca,Nunca
Hombre,Dejó la escuela a los 18 años,En el último mes,Ayer,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última semana,Nunca,Nunca
Hombre,Diploma/certificado profesional,En el último mes,Ayer,Nunca,Nunca
Mujer,Grado Universitario,Ayer,Nunca,Nunca,Nunca
Mujer,Doctorado finalizado,En el último año,Ayer,Hace mas de una decada,Hace mas de una decada
Hombre,Grado Universitario,Ayer,En el último año,Nunca,Nunca
Hombre,Dejó la escuela a los 16 años,En la última semana,Hace mas de una decada,Nunca,Nunca
Hombre,Grado Universitario,Ayer,Ayer,Nunca,Nunca
Mujer,Dejó la escuela a los 18 años,En la última semana,En la última semana,Nunca,Nunca
Hombre,Dejó la escuela antes de los 16 años,En la última semana,Hace mas de una decada,Nunca,Nunca
Mujer,Dejó la escuela a los 18 años,En la última semana,En la última semana,Nunca,Nunca
Hombre,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
Mujer,Dejó la escuela a los 16 años,Ayer,En la última semana,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
Mujer,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),Hace mas de una decada,Ayer,Nunca,Nunca
Hombre,Dejó la escuela a los 16 años,Ayer,Ayer,En el último año,En la última semana
Mujer,Grado Universitario,En la última semana,En la última semana,En la última semana,En la última semana
Mujer,Educación Técnica o de Universidad(No finalizada),En el último mes,En el último mes,Nunca,Nunca
Mujer,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),En el último año,En la última semana,Nunca,Nunca
Mujer,Maestría finalizada,En la última semana,Ayer,Nunca,Nunca
Hombre,Dejó la escuela a los 16 años,En la última semana,Hace mas de una decada,Nunca,Nunca
Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
Mujer,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
Hombre,Maestría finalizada,Ayer,En la última semana,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última decada,Nunca,Nunca
Hombre,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,En el último año,En la última semana,Nunca
Mujer,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
Hombre,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
Hombre,Doctorado finalizado,Ayer,Ayer,En la última semana,En el último año
Mujer,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
Hombre,Grado Universitario,Ayer,En el último mes,Hace mas de una decada,En la última decada
Mujer,Maestría finalizada,En la última semana,Hace mas de una decada,Nunca,Nunca
Mujer,Grado Universitario,Ayer,Ayer,Nunca,Nunca
Hombre,Maestría finalizada,En el último mes,En el último mes,Nunca,Nunca
Mujer,Grado Universitario,Ayer,En el último año,Nunca,En la última decada
Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última semana,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,En la última semana,Nunca,Nunca
Hombre,Dejó la escuela a los 18 años,Ayer,Hace mas de una decada,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
Mujer,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
Mujer,Grado Universitario,Nunca,Ayer,Nunca,Nunca
Hombre,Grado Universitario,Ayer,Hace mas de una decada,Nunca,Nunca
Hombre,Grado Universitario,Ayer,Nunca,Nunca,Nunca
Hombre,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
Mujer,Dejó la escuela a los 16 años,En el último año,Hace mas de una decada,Hace mas de una decada,En la última semana
Mujer,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
Hombre,Maestría finalizada,En la última semana,Ayer,Nunca,Nunca
Mujer,Dejó la escuela antes de los 16 años,En la última semana,En la última decada,En la última semana,En la última semana
Mujer,Educación Técnica o de Universidad(No finalizada),En la última decada,Ayer,Nunca,Nunca
Mujer,Grado Universitario,Ayer,Nunca,Nunca,Nunca
Mujer,Grado Universitario,En el último año,Ayer,Nunca,Nunca
Hombre,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
Mujer,Diploma/certificado profesional,Ayer,En la última semana,Nunca,Nunca
Mujer,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
Mujer,Maestría finalizada,Ayer,En la última semana,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,En la última decada,Nunca,En la última decada
Mujer,Grado Universitario,Ayer,En la última decada,Nunca,Hace mas de una decada
Hombre,Educación Técnica o de Universidad(No finalizada),Nunca,Ayer,Nunca,Hace mas de una decada
Mujer,Grado Universitario,En la última decada,Ayer,Nunca,Nunca
Mujer,Dejó la escuela a los 16 años,En el último mes,Ayer,Nunca,Nunca
Mujer,Dejó la escuela a los 16 años,Ayer,Ayer,Nunca,Nunca
Hombre,Dejó la escuela a los 18 años,En la última semana,En el último año,Nunca,Nunca
Mujer,Dejó la escuela a los 18 años,En el último mes,Ayer,Hace mas de una decada,Hace mas de una decada
Hombre,Dejó la escuela a los 16 años,Ayer,Ayer,Nunca,Nunca
Hombre,Dejó la escuela antes de los 16 años,En el último año,Ayer,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
Mujer,Diploma/certificado profesional,En la última semana,Ayer,Hace mas de una decada,Hace mas de una decada
Hombre,Dejó la escuela a los 18 años,Ayer,Ayer,Nunca,Nunca
Hombre,Diploma/certificado profesional,En la última semana,Ayer,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,En la última decada,Nunca,Nunca
Hombre,Diploma/certificado profesional,En el último mes,Ayer,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,En la última semana,Nunca,Nunca
Hombre,Maestría finalizada,Ayer,En la última semana,Nunca,Nunca
Hombre,Dejó la escuela a los 16 años,En el último mes,Ayer,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,En la última semana,Hace mas de una decada
Mujer,Diploma/certificado profesional,En el último año,Ayer,Nunca,Nunca
Mujer,Diploma/certificado profesional,En el último año,En la última semana,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
Mujer,Diploma/certificado profesional,Hace mas de una decada,En el último año,Hace mas de una decada,Nunca
Hombre,Dejó la escuela a los 16 años,Hace mas de una decada,Ayer,Nunca,Nunca
Hombre,Diploma/certificado profesional,En el último año,En la última semana,Nunca,Nunca
Hombre,Grado Universitario,En el último mes,En la última semana,Nunca,Nunca
Hombre,Grado Universitario,En el último año,Ayer,Nunca,Nunca
Hombre,Dejó la escuela a los 16 años,En la última semana,En la última semana,Nunca,Nunca
Mujer,Maestría finalizada,En la última semana,Nunca,Nunca,Nunca
Hombre,Grado Universitario,En la última semana,En el último año,Hace mas de una decada,Nunca
Mujer,Maestría finalizada,En la última semana,En el último año,Hace mas de una decada,Hace mas de una decada
Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
Hombre,Dejó la escuela a los 16 años,En el último año,En el último año,En la última decada,Hace mas de una decada
Hombre,Dejó la escuela a los 16 años,Ayer,Nunca,Nunca,Nunca
Mujer,Dejó la escuela a los 17 años,En la última semana,Ayer,Nunca,Nunca
Mujer,Dejó la escuela a los 16 años,Ayer,En la última semana,En la última semana,En la última semana
Mujer,Maestría finalizada,En la última decada,En la última semana,Nunca,Nunca
Hombre,Diploma/certificado profesional,En la última decada,Ayer,Nunca,En la última decada
Hombre,Maestría finalizada,En la última semana,En la última decada,En la última semana,En la última semana
Mujer,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
Mujer,Dejó la escuela a los 16 años,En el último año,En el último mes,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
Mujer,Dejó la escuela antes de los 16 años,En la última decada,En la última semana,En la última semana,En la última semana
Mujer,Grado Universitario,En la última semana,Ayer,Hace mas de una decada,Nunca
Hombre,Dejó la escuela a los 18 años,Ayer,Nunca,Nunca,Nunca
Hombre,Diploma/certificado profesional,En el último mes,En el último año,Nunca,Nunca
Hombre,Doctorado finalizado,Ayer,En la última semana,Nunca,Nunca
Mujer,Diploma/certificado profesional,En la última semana,En la última decada,Nunca,Nunca
Hombre,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
Hombre,Grado Universitario,En la última semana,Ayer,En la última decada,Hace mas de una decada
Mujer,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
Hombre,Maestría finalizada,En el último mes,Nunca,Nunca,Nunca
Mujer,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,En la última decada
Mujer,Grado Universitario,Ayer,En el último mes,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),Nunca,Nunca,Nunca,Nunca
Mujer,Grado Universitario,Ayer,Nunca,Nunca,Nunca
Hombre,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
Mujer,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
Hombre,Dejó la escuela a los 17 años,Ayer,En el último año,Nunca,Hace mas de una decada
Mujer,Grado Universitario,Ayer,Nunca,Nunca,Nunca
Mujer,Dejó la escuela a los 16 años,En la última semana,En el último mes,Nunca,Nunca
Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),En la última decada,En la última semana,En la última semana,Nunca
Mujer,Maestría finalizada,En la última semana,Nunca,Nunca,Nunca
Hombre,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
Mujer,Maestría finalizada,En el último mes,En la última semana,Nunca,Nunca
Mujer,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
Mujer,Maestría finalizada,En el último mes,En el último mes,Nunca,Nunca
Mujer,Maestría finalizada,En la última decada,Nunca,Nunca,Nunca
Mujer,Maestría finalizada,Ayer,En la última semana,Nunca,Nunca
Mujer,Doctorado finalizado,En el último mes,Nunca,Nunca,Nunca
Mujer,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
Mujer,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
Mujer,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
Mujer,Grado Universitario,Ayer,Hace mas de una decada,Nunca,Nunca
Mujer,Grado Universitario,Ayer,Nunca,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
Mujer,Maestría finalizada,Ayer,En la última semana,Nunca,Nunca
Mujer,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),En la última decada,En la última decada,Nunca,Nunca
Mujer,Maestría finalizada,En la última semana,Nunca,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,En el último mes,Nunca,Nunca
Hombre,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
Hombre,Maestría finalizada,Hace mas de una decada,Hace mas de una decada,Nunca,Nunca
Mujer,Doctorado finalizado,Ayer,Hace mas de una decada,Nunca,Nunca
Mujer,Diploma/certificado profesional,Ayer,Nunca,Nunca,Nunca
Mujer,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
Hombre,Diploma/certificado profesional,Ayer,En la última decada,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último mes,Nunca,Nunca
Mujer,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
Hombre,Dejó la escuela a los 16 años,En la última semana,Nunca,Nunca,Nunca
Mujer,Maestría finalizada,En el último mes,Nunca,Nunca,Nunca
Mujer,Grado Universitario,En el último mes,En la última semana,Nunca,Nunca
Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
Mujer,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),Ayer,En la última semana,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,En el último año,Nunca,Nunca
Mujer,Diploma/certificado profesional,Ayer,Nunca,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último mes,Nunca,Nunca
Hombre,Grado Universitario,En la última decada,Hace mas de una decada,Nunca,Nunca
Hombre,Diploma/certificado profesional,En la última decada,En el último mes,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
Mujer,Dejó la escuela a los 16 años,En la última semana,Ayer,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),En la última decada,Ayer,Nunca,Nunca
Hombre,Dejó la escuela antes de los 16 años,En el último año,Ayer,Nunca,Hace mas de una decada
Mujer,Grado Universitario,Ayer,Hace mas de una decada,Nunca,Nunca
Mujer,Diploma/certificado profesional,En la última semana,Ayer,En la última decada,Nunca
Hombre,Diploma/certificado profesional,En la última semana,En el último año,Nunca,Nunca
Hombre,Dejó la escuela a los 16 años,En la última semana,En el último año,Nunca,Nunca
Hombre,Diploma/certificado profesional,Ayer,Hace mas de una decada,Hace mas de una decada,Nunca
Hombre,Dejó la escuela a los 16 años,En la última semana,En el último año,Nunca,Nunca
Mujer,Diploma/certificado profesional,Hace mas de una decada,En el último mes,Hace mas de una decada,Nunca
Mujer,Diploma/certificado profesional,En la última semana,Ayer,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,Ayer,Nunca,Nunca
Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,Ayer,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
Hombre,Grado Universitario,En la última semana,En el último año,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último año,Nunca,Nunca
Mujer,Maestría finalizada,En la última semana,Ayer,En la última semana,Hace mas de una decada
Hombre,Grado Universitario,En la última semana,En el último mes,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En la última decada,En la última decada,Hace mas de una decada,Hace mas de una decada
Hombre,Grado Universitario,Ayer,Ayer,En la última semana,En la última semana
Mujer,Diploma/certificado profesional,En el último mes,En el último año,En la última decada,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
Hombre,Grado Universitario,En la última semana,En el último año,En la última semana,Nunca
Hombre,Grado Universitario,Hace mas de una decada,Ayer,Nunca,Nunca
Mujer,Maestría finalizada,Ayer,Ayer,Nunca,Nunca
Mujer,Dejó la escuela antes de los 16 años,En el último año,En la última decada,En la última decada,En la última decada
Mujer,Maestría finalizada,Ayer,En la última semana,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),En la última decada,Ayer,Hace mas de una decada,Nunca
Hombre,Diploma/certificado profesional,En el último año,Ayer,Nunca,Hace mas de una decada
Mujer,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
Hombre,Maestría finalizada,En la última semana,Nunca,Nunca,Nunca
Hombre,Dejó la escuela a los 18 años,En la última semana,En el último año,Nunca,Nunca
Hombre,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
Mujer,Maestría finalizada,En la última semana,Hace mas de una decada,Nunca,Nunca
Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
Mujer,Doctorado finalizado,Ayer,Hace mas de una decada,Nunca,Nunca
Mujer,Diploma/certificado profesional,Ayer,En la última semana,Nunca,Nunca
Hombre,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
Hombre,Doctorado finalizado,En la última semana,En el último año,Nunca,Nunca
Mujer,Doctorado finalizado,En la última semana,En la última decada,Nunca,Nunca
Mujer,Doctorado finalizado,En la última semana,Nunca,Nunca,Nunca
Mujer,Doctorado finalizado,Ayer,En la última semana,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
Mujer,Maestría finalizada,En la última semana,En la última decada,Nunca,Nunca
Mujer,Doctorado finalizado,Ayer,En el último año,Nunca,Hace mas de una decada
Hombre,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
Mujer,Grado Universitario,En el último mes,Hace mas de una decada,Nunca,Nunca
Mujer,Diploma/certificado profesional,En el último mes,Nunca,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
Hombre,Dejó la escuela a los 16 años,En la última semana,Ayer,Nunca,Nunca
Hombre,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
Hombre,Maestría finalizada,En la última semana,Hace mas de una decada,Nunca,Nunca
Mujer,Maestría finalizada,En la última semana,En el último mes,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último mes,Nunca,Nunca
Hombre,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,En el último año,Nunca,Nunca
Mujer,Maestría finalizada,Ayer,Ayer,En el último mes,En la última decada
Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
Mujer,Maestría finalizada,En la última semana,En el último año,Hace mas de una decada,Nunca
Hombre,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,En la última decada,Nunca,Nunca
Mujer,Dejó la escuela a los 16 años,En la última semana,Hace mas de una decada,Nunca,Nunca
Hombre,Maestría finalizada,En la última semana,En el último mes,En la última decada,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,Ayer,En la última decada,Nunca
Hombre,Diploma/certificado profesional,En la última semana,En el último mes,Nunca,Hace mas de una decada
Hombre,Maestría finalizada,En la última semana,En la última decada,Nunca,Nunca
Hombre,Doctorado finalizado,En la última semana,Ayer,En la última semana,Nunca
Mujer,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
Mujer,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
Mujer,Doctorado finalizado,Ayer,En la última decada,Nunca,Nunca
Hombre,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
Mujer,Doctorado finalizado,Ayer,En la última semana,Hace mas de una decada,Nunca
Hombre,Dejó la escuela a los 18 años,En el último año,Ayer,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,En el último año,En el último mes,En el último año
Hombre,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
Hombre,Diploma/certificado profesional,En la última semana,En el último año,Nunca,Nunca
Hombre,Diploma/certificado profesional,En la última decada,Ayer,Nunca,Nunca
Hombre,Grado Universitario,En la última decada,Ayer,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última semana,Nunca,Nunca
Mujer,Maestría finalizada,En el último año,Nunca,Nunca,Nunca
Hombre,Diploma/certificado profesional,En el último año,Ayer,Nunca,Nunca
Hombre,Diploma/certificado profesional,En el último año,Ayer,Nunca,Nunca
Hombre,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),Nunca,Nunca,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última decada,Nunca,Nunca
Hombre,Doctorado finalizado,Ayer,Hace mas de una decada,En la última decada,En la última decada
Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,En la última decada,Nunca,Nunca
Hombre,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
Mujer,Grado Universitario,En el último año,En la última decada,Hace mas de una decada,Nunca
Mujer,Diploma/certificado profesional,En el último mes,En el último mes,Nunca,Nunca
Hombre,Grado Universitario,Ayer,Ayer,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última semana,Nunca,Nunca
Mujer,Dejó la escuela antes de los 16 años,En el último mes,En el último año,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En la última decada,Ayer,Nunca,Nunca
Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Nunca,Nunca,Hace mas de una decada
Mujer,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
Hombre,Maestría finalizada,Ayer,En la última semana,Nunca,Nunca
Hombre,Diploma/certificado profesional,En la última semana,Ayer,Nunca,Nunca
Mujer,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
Hombre,Grado Universitario,En la última semana,Ayer,Nunca,Nunca
Mujer,Grado Universitario,En el último mes,Ayer,Nunca,Nunca
Hombre,Grado Universitario,Ayer,En el último año,Nunca,Hace mas de una decada
Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Hace mas de una decada,Hace mas de una decada
Hombre,Dejó la escuela antes de los 16 años,Hace mas de una decada,Ayer,Nunca,Nunca
Mujer,Grado Universitario,En el último año,En la última decada,Nunca,Nunca
Hombre,Grado Universitario,Ayer,Hace mas de una decada,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Hace mas de una decada,Hace mas de una decada
Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,Ayer,Nunca,Nunca
Mujer,Grado Universitario,En el último mes,En la última semana,Nunca,Nunca
Hombre,Grado Universitario,En la última semana,En el último año,Nunca,Nunca
Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última decada,Nunca,Nunca
Hombre,Diploma/certificado profesional,En el último año,En el último mes,Nunca,Nunca
Hombre,Grado Universitario,En la última semana,Ayer,Nunca,Nunca
